locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	同一律	思维规律、思考规律
cmn-Latn-CN	tóngyī lǜ	sīkǎo guīlǜ, sīwéi guīlǜ
dan-Latn-DK		
deu-Latn-DE	Identitätsprinzip [n]	Denkgesetz [n]
eng-Latn-US	law of identity, principle of identity	law of thought
fin-Latn-FI		
fra-Latn-FR	principe [m] d’identité	loi [f] de la pensée
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	どういちりつ、どういつげんり	しこうのげんり
jpn-Jpan-JP	同一律、同一原理	思考の原理
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	зако́н то́ждества	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
