locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN		元数；浓度、势
cmn-Latn-CN		yuán shù; nóng dù, shì
dan-Latn-DK		; 
deu-Latn-DE		Arität, Stelligkeit; Kardinalität, Mächtigkeit
eng-Latn-US	structure	arity; cardinality
fin-Latn-FI		; 
fra-Latn-FR		arité; cardinalité
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP		こうすう、アリティ; のうど、カーディナリティ
jpn-Jpan-JP		項数、アリティ；濃度、カーディナリティ
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU		а́рность; мо́щность
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
