locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ ؛ 
cmn-Hans-CN	洛伦兹力	；点电荷；力；速度
cmn-Latn-CN	Luòlúnzī lì	; diǎndiànhè; lì; sùdù
dan-Latn-DK		; ; ; 
deu-Latn-DE	Lorentzkraft [f]	; Geschwindigkeit; Kraft [f]; Punktladung
eng-Latn-US	Lorentz force, electromagnetic force	electromagnetic field; force; point charge; velocity
fin-Latn-FI		; ; ; 
fra-Latn-FR	force [f] de Lorentz, force [f] électromagnétique	; ; force; vecteur vitesse, vélocité
heb-Hebr-IL		; ; ; 
hin-Deva-IN		; ; ; 
ita-Latn-IT		; ; ; 
jpn-Hrkt-JP	ローレンツりょく	; そくど; ちから; てんでんか
jpn-Jpan-JP	ローレンツ力	；速度；力；点電荷
kor-Hang-KR		; ; ; 
kor-Kore-KR		; ; ; 
nld-Latn-NL		; ; ; 
nob-Latn-NO		; ; ; 
pes-Aran-IR		؛ ؛ ؛ 
por-Latn-PT		; ; ; 
rus-Cyrl-RU	си́ла Ло́ренца	; ; си́ла; ско́рость
spa-Latn-ES		; ; ; 
swe-Latn-SE		; ; ; 
tur-Latn-TR		; ; ; 
zxx-Zmth-ZZ		
