locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ ؛ 
cmn-Hans-CN	李纳-维谢势	；；；电荷
cmn-Latn-CN	Lǐnà-Wéixiè shì	; ; ; diànhè
dan-Latn-DK		; ; ; 
deu-Latn-DE	Liénard-Wiechert-Potentiale	; ; ; Elektrizitätsmenge, elektrische Ladung
eng-Latn-US	Liénard–Wiechert potentials	Lorenz gauge condition, Lorenz gauge; electric charge; scalar potential; vector potential
fin-Latn-FI		; ; ; 
fra-Latn-FR	potentiels [m-pl] de Liénard-Wiechert	; ; ; charge [f] électrique
heb-Hebr-IL		; ; ; 
hin-Deva-IN		; ; ; 
ita-Latn-IT		; ; ; 
jpn-Hrkt-JP	リエナール・ヴィーヘルト・ポテンシャル	；；；かでん、でんか
jpn-Jpan-JP	リエナール・ヴィーヘルト・ポテンシャル	；；；荷電、電荷
kor-Hang-KR		; ; ; 
kor-Kore-KR		; ; ; 
nld-Latn-NL		; ; ; 
nob-Latn-NO		; ; ; 
pes-Aran-IR		؛ ؛ ؛ 
por-Latn-PT		; ; ; 
rus-Cyrl-RU	потенциа́лы Лиена́ра — Ви́херта	; ; ; коли́чество электри́чества, электри́ческий заря́д
spa-Latn-ES		; ; ; 
swe-Latn-SE		; ; ; 
tur-Latn-TR		; ; ; 
zxx-Zmth-ZZ		
