locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ ؛ 
cmn-Hans-CN	功、机械功	；；；力
cmn-Latn-CN	gōng, jīxiègōng	; ; ; lì
dan-Latn-DK		; ; ; 
deu-Latn-DE	Arbeit	; ; ; Kraft [f]
eng-Latn-US	work	displacement; energy; force; physical object
fin-Latn-FI		; ; ; 
fra-Latn-FR	travail d’une force	; ; ; force
heb-Hebr-IL		; ; ; 
hin-Deva-IN		; ; ; 
ita-Latn-IT		; ; ; 
jpn-Hrkt-JP	しごと（りきがく）	; ; ; ちから
jpn-Jpan-JP	仕事（力学）	；；；力
kor-Hang-KR		; ; ; 
kor-Kore-KR		; ; ; 
nld-Latn-NL		; ; ; 
nob-Latn-NO		; ; ; 
pes-Aran-IR		؛ ؛ ؛ 
por-Latn-PT		; ; ; 
rus-Cyrl-RU	механи́ческая рабо́та, рабо́та	; ; ; си́ла
spa-Latn-ES		; ; ; 
swe-Latn-SE		; ; ; 
tur-Latn-TR		; ; ; 
zxx-Zmth-ZZ		
