locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	惯性	力；运动
cmn-Latn-CN	guànxìng	lì; yùndòng
dan-Latn-DK		; 
deu-Latn-DE	Beharrungsvermögen, Trägheit	Bewegung; Kraft [f]
eng-Latn-US	inertia	force; motion
fin-Latn-FI		; 
fra-Latn-FR	inertie	force; mouvement
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	かんせい	うんどう；ちから
jpn-Jpan-JP	慣性	運動；力
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	ине́рция	движе́ние; си́ла
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
