locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	引力势能	势能、位能；引力、重力
cmn-Latn-CN	yǐnlì shìnéng	wèìnéng, yǐnlì, zhònglì; shìnéng
dan-Latn-DK		; 
deu-Latn-DE	potentielle Gravitationsenergie	Gravitation, Gravitationskraft; Lageenergie, potentielle Energie, potenzielle Energie
eng-Latn-US	gravitational energy, gravitational potential energy	gravitation, gravity; potential energy
fin-Latn-FI		; 
fra-Latn-FR	énergie potentielle gravitationnelle	gravitation; énergie potentielle
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	じゅうりょくポテンシャルエネルギー	じゅうりょく; いちエネルギー
jpn-Jpan-JP	重力ポテンシャルエネルギー	位置エネルギー；重力
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	гравитациóнная энéргия	всеми́рное тяготе́ние, гравита́ция, притяже́ние, тяготе́ние; потенциа́льная эне́ргия
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
