locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	反电动势	电磁感应；电动势
cmn-Latn-CN	fǎn diàndòngshì	diàncí gǎnyìng; diàndòngshì
dan-Latn-DK		; 
deu-Latn-DE		Faradaysche Induktion, elektromagnetische Induktion; elektromotorische Kraft
eng-Latn-US	back electromotive force, counter-electromotive force	electromagnetic induction, magnetic induction; electromotance, electromotive force
fin-Latn-FI		; 
fra-Latn-FR		force électromotrice, électromotance; induction électromagnétique
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP		でんじゆうどう; きでんりょく
jpn-Jpan-JP		起電力；電磁誘導
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU		электродви́жущая си́ла; электромагни́тная инду́кция
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
