locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	离心力	惯性力、假想力
cmn-Latn-CN	líxīnlì	guànxìnglì, jiǎxiǎnglì
dan-Latn-DK		
deu-Latn-DE	Fliehkraft [f], Zentrifugalkraft [f]	Trägheitskraft [f]
eng-Latn-US	centrifugal force	fictitious force, inertial force, pseudo-force
fin-Latn-FI		
fra-Latn-FR	force [f] centrifuge	force [f] d’inertie, force fictive, force inertielle, pseudo-force [f]
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	えんしんりょく	かんせいりょく、みかけのちから
jpn-Jpan-JP	遠心力	慣性力、見掛けの力
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	центробе́жная си́ла	инерцио́нная си́ла, си́ла ине́рции
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
