locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ 
cmn-Hans-CN	速度	；速率；物体、物理实体
cmn-Latn-CN	sùdù	; wùtǐ, wùlǐ shítǐ; sùlǜ
dan-Latn-DK		; ; 
deu-Latn-DE	Geschwindigkeit	; Schnelligkeit; physikalischer Körper
eng-Latn-US	velocity	directional derivative; physical body, physical object; speed
fin-Latn-FI		; ; 
fra-Latn-FR	vecteur vitesse, vélocité	; corps [m] physique; vitesse
heb-Hebr-IL		; ; 
hin-Deva-IN		; ; 
ita-Latn-IT		; ; 
jpn-Hrkt-JP	そくど	; ぶったい; はやさ
jpn-Jpan-JP	速度	；速さ；物体
kor-Hang-KR		; ; 
kor-Kore-KR		; ; 
nld-Latn-NL		; ; 
nob-Latn-NO		; ; 
pes-Aran-IR		؛ ؛ 
por-Latn-PT		; ; 
rus-Cyrl-RU	ско́рость	; ско́рость движе́ния; те́ло в фи́зике, физи́ческий объе́кт, физи́ческое те́ло
spa-Latn-ES		; ; 
swe-Latn-SE		; ; 
tur-Latn-TR		; ; 
zxx-Zmth-ZZ	bbv, vecv	
