locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	科里奥利力、地转偏向力	惯性力、假想力
cmn-Latn-CN	Kēlǐ’àolì lì, dìzhuàn piānxiàng lì	guànxìng lì, jiǎxiǎng lì
dan-Latn-DK		
deu-Latn-DE	Corioliskraft [f]	Trägheitskraft [f]
eng-Latn-US	Coriolis force	fictitious force, inertial force, pseudo-force
fin-Latn-FI		
fra-Latn-FR	force [f] de Coriolis	force [f] d’inertie, force fictive, force inertielle, pseudo-force [f]
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	てんこうりょく、コリオリのりょく、コリオリりょく	かんせいりょく、みかけのちから
jpn-Jpan-JP	転向力、コリオリの力、コリオリ力	慣性力、見掛けの力
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	си́ла Кориоли́са	инерцио́нная си́ла, си́ла ине́рции
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
