locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	相对速度	速度
cmn-Latn-CN	xiāngduì sùdù	sùdù
dan-Latn-DK		
deu-Latn-DE	Relativgeschwindigkeit	Geschwindigkeit
eng-Latn-US	relative velocity	velocity
fin-Latn-FI		
fra-Latn-FR	vitesse relative	vecteur vitesse, vélocité
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	そうたいそくど	そくど
jpn-Jpan-JP	相対速度	速度
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	относи́тельная ско́рость	ско́рость
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ	bbv_{BA}, vecv_{BA}	
