locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	回复力	；力
cmn-Latn-CN	huífù lì	; lì
dan-Latn-DK		; 
deu-Latn-DE	Rückstellkraft [f]	; Kraft [f]
eng-Latn-US	restoring force	equilibrium point; force
fin-Latn-FI		; 
fra-Latn-FR	force [f] de rappel	; force
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	ふくげんりょく	; ちから
jpn-Jpan-JP	復元力	；力
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	си́ла упру́гости	; си́ла
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
