locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ 
cmn-Hans-CN	力	运动；物体、物理实体；速度
cmn-Latn-CN	lì	yùn dòng; wù tǐ, wùlǐ shítǐ; sù dù
dan-Latn-DK		; ; 
deu-Latn-DE	Kraft [f]	Bewegung; physikalischer Körper; Geschwindigkeit
eng-Latn-US	force	motion; physical body, physical object; velocity
fin-Latn-FI		; ; 
fra-Latn-FR	force	mouvement; corps [m] physique; vecteur vitesse, vélocité
heb-Hebr-IL		; ; 
hin-Deva-IN		; ; 
ita-Latn-IT		; ; 
jpn-Hrkt-JP	ちから	うんどう; ぶったい; そくど
jpn-Jpan-JP	力	運動；物体；速度
kor-Hang-KR		; ; 
kor-Kore-KR		; ; 
nld-Latn-NL		; ; 
nob-Latn-NO		; ; 
pes-Aran-IR		؛ ؛ 
por-Latn-PT		; ; 
rus-Cyrl-RU	си́ла	движе́ние; те́ло в фи́зике, физи́ческий объе́кт, физи́ческое те́ло; ско́рость
spa-Latn-ES		; ; 
swe-Latn-SE		; ; 
tur-Latn-TR		; ; 
zxx-Zmth-ZZ	bbF, vecF	
