locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	惯性	力；运动
cmn-Latn-CN	guàn xìng	lì; yùn dòng
dan-Latn-DK		; 
deu-Latn-DE	Beharrungsvermögen, Trägheit	Kraft [f]; Bewegung
eng-Latn-US	inertia	force; motion
fin-Latn-FI		; 
fra-Latn-FR	inertie	force; mouvement
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	かんせい	ちから; うんどう
jpn-Jpan-JP	慣性	力；運動
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	ине́рция	си́ла; движе́ние
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
